task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
binary,DT,BBA,0.05,0.8206892033542977,0.8212845332255994,0.21318134171907757,0.22824094435622055,0.6075078616352201,0.6165257811792902,0.6165257811792902,0.8772929769392034,263.0
binary,DT,BBA,0.1,0.8206892033542977,0.8212845332255994,0.18756551362683438,0.2046389805974066,0.6331236897274632,0.6617882917940869,0.6617882917940869,0.8772929769392034,263.0
binary,DT,BBA,0.2,0.8206892033542977,0.8212845332255994,0.13449947589098532,0.15052653336984445,0.6861897274633124,0.7568248987691977,0.7568248987691977,0.8772929769392034,263.0
binary,DT,BBA,0.3,0.8206892033542977,0.8212845332255994,0.08169549266247379,0.0975754458205544,0.738993710691824,0.8528140357153584,0.8528140357153584,0.8772929769392034,263.0
binary,DT,DBA-style,0.05,0.8206892033542977,0.8212845332255994,0.2656577568134172,0.27028346026307587,0.5550314465408805,0.5234238104739717,0.5234238104739717,0.8772929769392034,263.0
binary,DT,DBA-style,0.1,0.8206892033542977,0.8212845332255994,0.23165618448637318,0.2407400137132325,0.5890330188679245,0.5828541393702923,0.5828541393702923,0.8772929769392034,263.0
binary,DT,DBA-style,0.2,0.8206892033542977,0.8212845332255994,0.1988993710691824,0.21258887746825184,0.6217898322851153,0.6414857706611521,0.6414857706611521,0.8772929769392034,263.0
binary,DT,DBA-style,0.3,0.8206892033542977,0.8212845332255994,0.16339098532494759,0.18266026126374751,0.6572982180293501,0.7063366056760966,0.7063366056760966,0.8772929769392034,263.0
binary,DT,FGSM-SNN,0.05,0.8206892033542977,0.8212845332255994,0.4933831236897275,0.46747064048300857,0.32730607966457026,0.24353881770262253,0.24353881770262253,0.8772929769392034,263.0
binary,DT,FGSM-SNN,0.1,0.8206892033542977,0.8212845332255994,0.4779874213836478,0.4568505913147545,0.34270178197064993,0.27198386054219603,0.27198386054219603,0.8772929769392034,263.0
