task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
binary,1,RF,FGSM-SNN,0.05,0.6737421383647799,0.5648213165699509,0.5974842767295597,0.49805623561181306,0.07625786163522019,0.09391374445787988,0.09391374445787988,0.975104821802935,2,453
binary,1,RF,PGD-10-SNN,0.05,0.6737421383647799,0.5648213165699509,0.6035115303983228,0.4971439388006573,0.07023060796645708,0.08020959290608626,0.08020959290608626,0.975104821802935,2,453
binary,1,RF,PGD-20-SNN,0.05,0.6737421383647799,0.5648213165699509,0.6029874213836478,0.49491792886935465,0.07075471698113212,0.07900040306328093,0.07900040306328093,0.975104821802935,2,453
binary,1,RF,BBA,0.05,0.6737421383647799,0.5648213165699509,0.6574947589098532,0.5308564968881488,0.016247379454926714,0.0008061265618702137,0.0008061265618702137,0.975104821802935,2,453
binary,1,RF,DBA-style,0.05,0.6737421383647799,0.5648213165699509,0.6737421383647799,0.5648213165699509,0.0,0.0,0.0,0.975104821802935,2,453
binary,1,RF,FGSM-SNN,0.1,0.6737421383647799,0.5648213165699509,0.4101153039832285,0.3869761554252414,0.26362683438155143,0.3857315598548972,0.3857315598548972,0.975104821802935,2,453
binary,1,RF,PGD-10-SNN,0.1,0.6737421383647799,0.5648213165699509,0.5579140461215933,0.4750665706688062,0.11582809224318658,0.1539701733172108,0.1539701733172108,0.975104821802935,2,453
binary,1,RF,PGD-20-SNN,0.1,0.6737421383647799,0.5648213165699509,0.5539832285115304,0.4708921531198774,0.11975890985324955,0.15719467956469166,0.15719467956469166,0.975104821802935,2,453
binary,1,RF,BBA,0.1,0.6737421383647799,0.5648213165699509,0.6501572327044025,0.5161939324874064,0.02358490566037741,0.0024183796856106408,0.0024183796856106408,0.975104821802935,2,453
binary,1,RF,DBA-style,0.1,0.6737421383647799,0.5648213165699509,0.6737421383647799,0.5648213165699509,0.0,0.0,0.0,0.975104821802935,2,453
binary,1,RF,FGSM-SNN,0.2,0.6737421383647799,0.5648213165699509,0.560272536687631,0.49508454313535444,0.11346960167714892,0.17372027408303103,0.17372027408303103,0.975104821802935,2,453
binary,1,RF,PGD-10-SNN,0.2,0.6737421383647799,0.5648213165699509,0.5369496855345912,0.4701731637602915,0.1367924528301887,0.1950826279725917,0.1950826279725917,0.975104821802935,2,453
binary,1,RF,PGD-20-SNN,0.2,0.6737421383647799,0.5648213165699509,0.5471698113207547,0.47539398491884566,0.1265723270440252,0.1785570334542523,0.1785570334542523,0.975104821802935,2,453
binary,1,RF,BBA,0.2,0.6737421383647799,0.5648213165699509,0.6215932914046122,0.5011678790043126,0.05214884696016775,0.04554615074566707,0.04554615074566707,0.975104821802935,2,453
binary,1,RF,DBA-style,0.2,0.6737421383647799,0.5648213165699509,0.6737421383647799,0.5648213165699509,0.0,0.0,0.0,0.975104821802935,2,453
binary,1,RF,FGSM-SNN,0.3,0.6737421383647799,0.5648213165699509,0.40854297693920333,0.3907857537533774,0.2651991614255766,0.39983877468762596,0.39983877468762596,0.975104821802935,2,453
binary,1,RF,PGD-10-SNN,0.3,0.6737421383647799,0.5648213165699509,0.534853249475891,0.47115092060226343,0.13888888888888895,0.20233776702942363,0.20233776702942363,0.975104821802935,2,453
binary,1,RF,PGD-20-SNN,0.3,0.6737421383647799,0.5648213165699509,0.535901467505241,0.4782295468479101,0.13784067085953888,0.20999596936719064,0.20999596936719064,0.975104821802935,2,453
binary,1,RF,BBA,0.3,0.6737421383647799,0.5648213165699509,0.55083857442348,0.4631287398806248,0.12290356394129986,0.1531640467553406,0.1531640467553406,0.975104821802935,2,453
binary,1,RF,DBA-style,0.3,0.6737421383647799,0.5648213165699509,0.6737421383647799,0.5648213165699509,0.0,0.0,0.0,0.975104821802935,2,453
binary,1,DT,FGSM-SNN,0.05,0.6721698113207547,0.564262785626317,0.6108490566037735,0.5123897071954989,0.061320754716981174,0.07922392886014551,0.07922392886014551,0.9730083857442348,2,453
binary,1,DT,PGD-10-SNN,0.05,0.6721698113207547,0.564262785626317,0.6187106918238994,0.5099197837188957,0.053459119496855334,0.06143896523848019,0.06143896523848019,0.9730083857442348,2,453
binary,1,DT,PGD-20-SNN,0.05,0.6721698113207547,0.564262785626317,0.6187106918238994,0.5079425125711905,0.053459119496855334,0.05780113177041229,0.05780113177041229,0.9730083857442348,2,453
binary,1,DT,BBA,0.05,0.6721698113207547,0.564262785626317,0.4229559748427673,0.3872812351598967,0.2492138364779874,0.34761519805982216,0.34761519805982216,0.9730083857442348,2,453
binary,1,DT,DBA-style,0.05,0.6721698113207547,0.564262785626317,0.5778301886792453,0.48121479963121716,0.09433962264150941,0.11317704122877931,0.11317704122877931,0.9730083857442348,2,453
binary,1,DT,FGSM-SNN,0.1,0.6721698113207547,0.564262785626317,0.6595911949685535,0.5463474423348561,0.012578616352201255,0.011721907841552142,0.011721907841552142,0.9730083857442348,2,453
binary,1,DT,PGD-10-SNN,0.1,0.6721698113207547,0.564262785626317,0.6139937106918238,0.5137872649725568,0.05817610062893086,0.07477768795472918,0.07477768795472918,0.9730083857442348,2,453
binary,1,DT,PGD-20-SNN,0.1,0.6721698113207547,0.564262785626317,0.6153039832285115,0.5134087877294121,0.056865828092243165,0.07073565076798706,0.07073565076798706,0.9730083857442348,2,453
binary,1,DT,BBA,0.1,0.6721698113207547,0.564262785626317,0.37368972746331236,0.3544420688568464,0.29848008385744235,0.423605497170574,0.423605497170574,0.9730083857442348,2,453
binary,1,DT,DBA-style,0.1,0.6721698113207547,0.564262785626317,0.5222746331236897,0.449489468047261,0.149895178197065,0.19765561843168958,0.19765561843168958,0.9730083857442348,2,453
binary,1,DT,FGSM-SNN,0.2,0.6721698113207547,0.564262785626317,0.6661425576519916,0.5484197090866814,0.006027253668763111,0.0,0.0,0.9730083857442348,2,453
binary,1,DT,PGD-10-SNN,0.2,0.6721698113207547,0.564262785626317,0.5634171907756813,0.48079201002402855,0.1087526205450734,0.1463217461600647,0.1463217461600647,0.9730083857442348,2,453
binary,1,DT,PGD-20-SNN,0.2,0.6721698113207547,0.564262785626317,0.564203354297694,0.4828558962111054,0.10796645702306074,0.1475343573160873,0.1475343573160873,0.9730083857442348,2,453
binary,1,DT,BBA,0.2,0.6721698113207547,0.564262785626317,0.37368972746331236,0.3544420688568464,0.29848008385744235,0.423605497170574,0.423605497170574,0.9730083857442348,2,453
binary,1,DT,DBA-style,0.2,0.6721698113207547,0.564262785626317,0.4981656184486373,0.435523565778825,0.17400419287211738,0.23484236054971705,0.23484236054971705,0.9730083857442348,2,453
binary,1,DT,FGSM-SNN,0.3,0.6721698113207547,0.564262785626317,0.6611635220125787,0.5376278981491559,0.011006289308176043,0.0,0.0,0.9730083857442348,2,453
binary,1,DT,PGD-10-SNN,0.3,0.6721698113207547,0.564262785626317,0.5518867924528302,0.4684051597150355,0.12028301886792447,0.15804365400161682,0.15804365400161682,0.9730083857442348,2,453
binary,1,DT,PGD-20-SNN,0.3,0.6721698113207547,0.564262785626317,0.5626310272536688,0.4740169644093069,0.10953878406708595,0.1402586903799515,0.1402586903799515,0.9730083857442348,2,453
binary,1,DT,BBA,0.3,0.6721698113207547,0.564262785626317,0.37368972746331236,0.3544420688568464,0.29848008385744235,0.423605497170574,0.423605497170574,0.9730083857442348,2,453
binary,1,DT,DBA-style,0.3,0.6721698113207547,0.564262785626317,0.4981656184486373,0.435523565778825,0.17400419287211738,0.23484236054971705,0.23484236054971705,0.9730083857442348,2,453
binary,1,XGBoost,FGSM-SNN,0.05,0.6740041928721174,0.5649782219742828,0.4410377358490566,0.4145839712214101,0.23296645702306085,0.35213537469782435,0.35213537469782435,0.9753668763102725,2,453
binary,1,XGBoost,PGD-10-SNN,0.05,0.6740041928721174,0.5649782219742828,0.5767819706498952,0.4952601796385058,0.09722222222222221,0.1361804995970991,0.1361804995970991,0.9753668763102725,2,453
binary,1,XGBoost,PGD-20-SNN,0.05,0.6740041928721174,0.5649782219742828,0.5765199161425576,0.49414691344451384,0.09748427672955984,0.13497179693795328,0.13497179693795328,0.9753668763102725,2,453
binary,1,XGBoost,BBA,0.05,0.6740041928721174,0.5649782219742828,0.640461215932914,0.5167712932607347,0.033542976939203384,0.022562449637389202,0.022562449637389202,0.9753668763102725,2,453
binary,1,XGBoost,DBA-style,0.05,0.6740041928721174,0.5649782219742828,0.6724318658280922,0.5632668679018397,0.0015723270440252124,0.0016116035455278,0.0016116035455278,0.9753668763102725,2,453
binary,1,XGBoost,FGSM-SNN,0.1,0.6740041928721174,0.5649782219742828,0.4022536687631027,0.38725922490858417,0.27175052410901473,0.4117647058823529,0.4117647058823529,0.9753668763102725,2,453
binary,1,XGBoost,PGD-10-SNN,0.1,0.6740041928721174,0.5649782219742828,0.5545073375262054,0.4794168947175744,0.11949685534591203,0.16639806607574537,0.16639806607574537,0.9753668763102725,2,453
binary,1,XGBoost,PGD-20-SNN,0.1,0.6740041928721174,0.5649782219742828,0.560796645702306,0.48433350632328215,0.1132075471698114,0.1579371474617244,0.1579371474617244,0.9753668763102725,2,453
binary,1,XGBoost,BBA,0.1,0.6740041928721174,0.5649782219742828,0.5780922431865828,0.478043693976068,0.09591194968553463,0.11200644641418211,0.11200644641418211,0.9753668763102725,2,453
binary,1,XGBoost,DBA-style,0.1,0.6740041928721174,0.5649782219742828,0.6713836477987422,0.5610919646104465,0.00262054507337528,0.0016116035455278,0.0016116035455278,0.9753668763102725,2,453
binary,1,XGBoost,FGSM-SNN,0.2,0.6740041928721174,0.5649782219742828,0.4022536687631027,0.38725922490858417,0.27175052410901473,0.4117647058823529,0.4117647058823529,0.9753668763102725,2,453
binary,1,XGBoost,PGD-10-SNN,0.2,0.6740041928721174,0.5649782219742828,0.5083857442348009,0.44852294694573247,0.16561844863731656,0.23207091055600323,0.23207091055600323,0.9753668763102725,2,453
binary,1,XGBoost,PGD-20-SNN,0.2,0.6740041928721174,0.5649782219742828,0.5083857442348009,0.4506685420276972,0.16561844863731656,0.23529411764705882,0.23529411764705882,0.9753668763102725,2,453
